id,MSE_insample,MSE_outsample,RMSSE_value
HOBBIES_1_214_CA_1,0.385714543,0.519309813,0.984694098
HOBBIES_1_215_CA_1,1.127544866,1.682638974,1.16398849
HOBBIES_1_216_CA_1,1.767311386,1.3996351,0.562487535
HOBBIES_1_217_CA_1,0.341506409,0.442652152,0.963078069
HOBBIES_1_218_CA_1,0.476250495,0.434863368,0.665679604
HOBBIES_1_219_CA_1,0.352408192,0.629108331,1.3168359
HOBBIES_1_220_CA_1,0.886070207,1.259613972,1.019136894
HOBBIES_1_221_CA_1,0.623024635,0.411777091,0.482883479
HOBBIES_1_223_CA_1,1.885256404,1.071370717,0.46798686
HOBBIES_1_224_CA_1,0.515590047,0.587597713,0.84086569
HOBBIES_1_225_CA_1,0.65094673,0.499825365,0.562415492
HOBBIES_1_226_CA_1,1.005098241,1.06833489,0.865730238
HOBBIES_1_227_CA_1,0.785038626,0.35531806,0.332689829
HOBBIES_1_228_CA_1,1.092650392,1.09810942,0.737309586
HOBBIES_1_229_CA_1,0.43053621,0.549546842,0.964205167
HOBBIES_1_230_CA_1,0.381519148,0.194417272,0.406006905
HOBBIES_1_231_CA_1,0.858348131,0.632479908,0.539641135
HOBBIES_1_232_CA_1,1.967005144,2.249986027,1.117017381
HOBBIES_1_233_CA_1,4.485302122,3.783331292,0.609873592
HOBBIES_1_234_CA_1,3.521936365,6.379048806,1.344250883
HOBBIES_1_235_CA_1,0.941294111,0.759725503,0.622298283
HOBBIES_1_236_CA_1,3.993891436,3.648729801,0.924722266
HOBBIES_1_237_CA_1,1.09967835,0.962430954,0.665690219
HOBBIES_1_238_CA_1,0.717215761,0.63504483,0.644522349
HOBBIES_1_239_CA_1,0.946041482,0.561269818,0.431269491
HOBBIES_1_240_CA_1,0.893586584,1.042332402,0.921399734
HOBBIES_1_241_CA_1,1.519500898,3.419112892,2.535480125
HOBBIES_1_242_CA_1,2.008256823,1.425877033,0.560765196
HOBBIES_1_243_CA_1,0.416734468,0.442895135,0.803791379
HOBBIES_1_244_CA_1,7.044830642,5.62214653,0.596013881
HOBBIES_1_245_CA_1,0.341007107,0.440403638,0.976769207
HOBBIES_1_246_CA_1,0.743781021,0.356566182,0.403665778
HOBBIES_1_247_CA_1,0.828950357,1.42322866,1.529167477
HOBBIES_1_248_CA_1,3.304289913,2.194207447,0.709973614
HOBBIES_1_249_CA_1,1.070075758,0.961708883,0.669024273
HOBBIES_1_250_CA_1,0.477595972,0.440567831,0.690937632
HOBBIES_1_251_CA_1,0.479587716,0.758881493,1.236190031
HOBBIES_1_252_CA_1,1.32399595,2.299499074,1.572638695
HOBBIES_1_253_CA_1,0.688302291,0.350583494,0.407568421
HOBBIES_1_254_CA_1,8.873889856,5.899817958,0.475059159
HOBBIES_1_255_CA_1,1.301583705,1.200657961,0.715849654
HOBBIES_1_256_CA_1,9.169986518,4.613627142,0.393832463
HOBBIES_1_257_CA_1,0.442771263,0.484146987,0.80350694
HOBBIES_1_258_CA_1,1.414969617,1.243524733,0.675271519
HOBBIES_1_259_CA_1,0.547507953,0.60802326,0.824727858
HOBBIES_1_260_CA_1,0.793994616,0.439338535,0.435200246
HOBBIES_1_261_CA_1,7.475067137,11.01668322,1.212304273
HOBBIES_1_262_CA_1,0.527734007,0.768085917,1.219803712
HOBBIES_1_263_CA_1,0.491621986,0.682914969,1.012550449
HOBBIES_1_264_CA_1,0.767293416,0.689364016,0.645612486
HOBBIES_1_265_CA_1,0.580658682,1.146971492,1.46046115
HOBBIES_1_266_CA_1,0.958080694,1.429995254,1.175305553
HOBBIES_1_267_CA_1,0.406740194,0.481526604,0.883215582
HOBBIES_1_268_CA_1,14.56514722,13.85916248,0.736058972
HOBBIES_1_269_CA_1,0.429226705,0.440647985,0.83236781
HOBBIES_1_270_CA_1,0.881866349,0.939224068,0.816485587
HOBBIES_1_271_CA_1,0.499807869,0.534443459,0.845365904
HOBBIES_1_272_CA_1,0.294894448,0.350466872,0.851710655
HOBBIES_1_273_CA_1,0.512360357,0.420486649,0.587528588
HOBBIES_1_274_CA_1,0.347801126,0.310569644,0.7535715
HOBBIES_1_275_CA_1,0.912510354,0.518442283,0.448093168
HOBBIES_1_276_CA_1,0.908656728,0.757531781,0.60838084
HOBBIES_1_277_CA_1,1.637135516,1.146348464,0.514358098
HOBBIES_1_278_CA_1,12.17797759,10.0123393,0.595128263
HOBBIES_1_279_CA_1,0.683969716,1.334426099,1.806501886
HOBBIES_1_280_CA_1,1.090508844,0.79289772,0.555744194
HOBBIES_1_281_CA_1,0.800745891,0.705031647,0.768660259
HOBBIES_1_282_CA_1,0.926119986,1.431077495,1.230080436
HOBBIES_1_283_CA_1,0.375232237,0.721495441,1.62368796
HOBBIES_1_284_CA_1,0.375151667,0.513837052,1.033172667
HOBBIES_1_285_CA_1,0.29562794,0.384074126,1.003462064
HOBBIES_1_286_CA_1,4.680444193,8.164512676,1.282878957
HOBBIES_1_287_CA_1,1.108319944,0.930433749,0.651888649
HOBBIES_1_288_CA_1,6.637960991,10.42846503,1.13611001
HOBBIES_1_289_CA_1,0.682021054,0.526631818,0.567573512
HOBBIES_1_290_CA_1,0.560998084,0.590911186,0.784098768
HOBBIES_1_292_CA_1,0.615385296,0.738674428,0.996124532
HOBBIES_1_293_CA_1,0.714122485,0.580083142,0.58570605
HOBBIES_1_294_CA_1,0.414507463,0.379057647,0.74632429
HOBBIES_1_295_CA_1,8.352167276,6.276896358,0.569666911
HOBBIES_1_296_CA_1,0.840847355,0.620638451,0.536528387
HOBBIES_1_297_CA_1,1.147156713,1.588214248,1.093817625
HOBBIES_1_298_CA_1,1.107266751,1.032314285,0.750135923
HOBBIES_1_299_CA_1,0.641529231,0.873093588,1.153159471
HOBBIES_1_300_CA_1,1.474629475,1.384381901,0.780444931
HOBBIES_1_301_CA_1,1.177426914,1.069741356,0.656387928
HOBBIES_1_302_CA_1,0.217995795,0.041220473,0.143248843
HOBBIES_1_303_CA_1,0.819407253,0.833751015,0.757895627
HOBBIES_1_304_CA_1,0.402874498,0.503275673,0.905492578
HOBBIES_1_305_CA_1,0.517135757,0.663955476,0.907264302
HOBBIES_1_306_CA_1,0.517854176,0.866336056,1.289027133
HOBBIES_1_307_CA_1,0.366954013,0.352346698,0.699514476
HOBBIES_1_308_CA_1,0.798818279,0.74810747,0.795549015
HOBBIES_1_309_CA_1,1.046806554,1.096753557,0.770628946
HOBBIES_1_310_CA_1,0.795186789,0.949600336,0.850070596
HOBBIES_1_311_CA_1,0.40493678,0.51771341,0.979798999
HOBBIES_1_312_CA_1,7.449732519,5.002899096,0.50852846
HOBBIES_1_313_CA_1,1.270150042,1.892371346,1.198368284
HOBBIES_1_314_CA_1,0.378141251,0.519712074,0.994996827
HOBBIES_1_315_CA_1,0.582426456,0.25921658,0.332797542
HOBBIES_1_316_CA_1,1.786512789,1.42372778,0.727779429
HOBBIES_1_317_CA_1,1.035817302,1.230870639,0.901007546
HOBBIES_1_318_CA_1,0.508858099,0.842734055,1.467861884
HOBBIES_1_319_CA_1,5.941254187,2.879973671,0.339707552
HOBBIES_1_320_CA_1,1.247327286,0.924347818,0.589574212
HOBBIES_1_321_CA_1,1.426178319,1.242627336,0.626447027
HOBBIES_1_322_CA_1,0.378903819,0.352693211,0.694415514
HOBBIES_1_323_CA_1,1.266895314,1.12098424,0.628518141
HOBBIES_1_324_CA_1,1.030104503,1.321718789,1.000035856
HOBBIES_1_325_CA_1,0.38699369,0.51282698,1.028936061
HOBBIES_1_326_CA_1,0.852320043,0.755719067,0.692451567
HOBBIES_1_327_CA_1,1.041921171,0.829108129,0.625703915
HOBBIES_1_328_CA_1,0.964165031,0.750162157,0.565612956
HOBBIES_1_329_CA_1,1.33561225,1.200930136,0.700583898
HOBBIES_1_330_CA_1,1.200239676,1.097295107,0.688242477
HOBBIES_1_331_CA_1,0.903065737,0.721030246,0.654426459
HOBBIES_1_332_CA_1,1.045206411,0.820205579,0.618704932
HOBBIES_1_333_CA_1,0.515401534,0.57297994,0.845124945
HOBBIES_1_334_CA_1,0.773869064,0.96204631,0.994794729
HOBBIES_1_335_CA_1,0.626209155,0.154077709,0.220728758
HOBBIES_1_336_CA_1,0.318263999,0.245591944,0.609387937
HOBBIES_1_337_CA_1,2.516203544,2.633155249,0.80683831
HOBBIES_1_338_CA_1,1.374414637,1.343341043,0.709332361
HOBBIES_1_339_CA_1,1.237091428,2.565225038,1.727766121
HOBBIES_1_340_CA_1,0.593951808,0.746917516,1.052952851
HOBBIES_1_341_CA_1,9.299024834,5.781662241,0.472759643
HOBBIES_1_342_CA_1,0.581048165,0.745805557,0.968155602
HOBBIES_1_343_CA_1,0.991905446,1.107513484,0.786477021
HOBBIES_1_344_CA_1,0.691236227,0.633590394,0.905207582
HOBBIES_1_345_CA_1,1.873276814,1.623946415,0.656671561
HOBBIES_1_346_CA_1,0.763892729,0.724257764,0.701538895
HOBBIES_1_347_CA_1,0.51120467,0.338607948,0.496009894
HOBBIES_1_348_CA_1,14.26089215,10.32367388,0.567193094
HOBBIES_1_349_CA_1,1.152508971,0.988108567,0.797252428
HOBBIES_1_350_CA_1,0.850706251,0.635102309,0.604293748
HOBBIES_1_351_CA_1,0.990177314,0.914978727,0.681703505
HOBBIES_1_352_CA_1,0.838097663,1.084319966,1.138483846
HOBBIES_1_353_CA_1,4.330288815,5.338951906,0.954469204
HOBBIES_1_354_CA_1,2.559263028,5.341014195,2.428607467
HOBBIES_1_355_CA_1,0.951580776,0.862520628,0.714560105
HOBBIES_1_356_CA_1,0.852245358,0.678896873,0.604280156
HOBBIES_1_357_CA_1,1.241334816,1.255507762,0.712008483
HOBBIES_1_358_CA_1,1.181307413,0.916351759,0.696830461
HOBBIES_1_359_CA_1,0.351011977,0.330962064,0.773408816
HOBBIES_1_360_CA_1,0.45287779,0.278414369,0.456754752
HOBBIES_1_361_CA_1,0.533796122,0.641572805,0.905400703
HOBBIES_1_362_CA_1,0.379598901,0.553017894,1.099057575
HOBBIES_1_363_CA_1,0.52175871,0.54864429,0.743460043
HOBBIES_1_364_CA_1,1.248074718,1.006623258,0.623162732
HOBBIES_1_365_CA_1,0.392792332,0.493090652,0.93054929
HOBBIES_1_366_CA_1,0.445664604,0.622280389,1.041163732
HOBBIES_1_367_CA_1,1.321169976,1.49733626,0.89885989
HOBBIES_1_368_CA_1,0.54419742,0.742765559,1.025684363
HOBBIES_1_369_CA_1,6.205279477,11.95095406,1.585580276
HOBBIES_1_370_CA_1,11.15976945,6.085933307,0.457319922
HOBBIES_1_371_CA_1,12.23430054,10.07267704,0.625471167
HOBBIES_1_372_CA_1,1.017124414,0.964115411,0.712665681
HOBBIES_1_373_CA_1,0.96534348,1.531966406,1.334984764
HOBBIES_1_374_CA_1,1.078173066,0.914275634,0.660120957
HOBBIES_1_375_CA_1,0.261997641,0.127418518,0.378064685
HOBBIES_1_376_CA_1,0.492365096,0.595389572,0.931314383
HOBBIES_1_377_CA_1,0.451744084,0.644245118,1.012346804
HOBBIES_1_378_CA_1,1.866029227,2.108981475,0.843091538
HOBBIES_1_379_CA_1,1.822349508,1.943844967,0.805708514
HOBBIES_1_380_CA_1,1.81073218,2.053819797,0.798851014
HOBBIES_1_381_CA_1,6.256015028,4.545023046,0.520425697
HOBBIES_1_382_CA_1,0.915071323,0.662265247,0.560524423
HOBBIES_1_383_CA_1,1.019369725,1.150088817,0.848169963
HOBBIES_1_384_CA_1,1.107783155,0.933004004,0.724202494
HOBBIES_1_385_CA_1,0.456269147,0.528036279,1.052725251
HOBBIES_1_386_CA_1,0.687397929,0.861729373,0.926440524
HOBBIES_1_387_CA_1,9.023089192,8.572553183,0.77437927
HOBBIES_1_388_CA_1,1.128151923,1.480713998,1.000084291
HOBBIES_1_389_CA_1,0.361666622,0.570597856,1.188846327
HOBBIES_1_390_CA_1,0.554977578,0.474007264,0.615876097
HOBBIES_1_391_CA_1,0.425837337,0.575841839,1.023812754
HOBBIES_1_392_CA_1,0.810103846,1.335617643,1.350026017
HOBBIES_1_393_CA_1,0.463517843,0.580650494,0.937965036
HOBBIES_1_394_CA_1,1.124729286,1.953240852,1.424330165
HOBBIES_1_395_CA_1,0.562744995,0.609765817,0.860514031
HOBBIES_1_396_CA_1,0.447620953,0.072193265,0.128788261
